Date,Time,Location,Man,Woman,Kids,Senior Citizen,Total
2026-07-26,12:00,Entrance,15,10,2,1,28
2026-07-26,12:05,Entrance,19,12,0,0,31
2026-07-26,12:10,Entrance,25,10,0,0,35
2026-07-26,12:15,Entrance,18,13,0,1,32
2026-07-26,12:20,Entrance,25,13,3,2,43
2026-07-26,12:25,Entrance,12,22,1,3,38
2026-07-26,12:30,Entrance,22,14,1,1,38
2026-07-26,12:35,Entrance,22,11,0,3,36
2026-07-26,12:40,Entrance,15,15,2,2,34
2026-07-26,12:45,Entrance,13,21,3,0,37
2026-07-26,12:50,Entrance,24,11,2,2,39
2026-07-26,12:55,Entrance,18,21,0,0,39
2026-07-26,13:00,Entrance,19,22,2,0,43
2026-07-26,12:00,Lobby,11,8,3,2,24
2026-07-26,12:05,Lobby,15,17,2,1,35
2026-07-26,12:10,Lobby,13,12,1,2,28
2026-07-26,12:15,Lobby,19,17,0,1,37
2026-07-26,12:20,Lobby,16,18,1,1,36
2026-07-26,12:25,Lobby,15,13,2,1,31
2026-07-26,12:30,Lobby,18,12,0,1,31
2026-07-26,12:35,Lobby,8,12,3,2,25
2026-07-26,12:40,Lobby,9,10,2,1,22
2026-07-26,12:45,Lobby,18,14,3,3,38
2026-07-26,12:50,Lobby,10,11,1,1,23
2026-07-26,12:55,Lobby,19,15,2,3,39
2026-07-26,13:00,Lobby,17,13,2,1,33
2026-07-26,12:00,Food Court,19,30,3,0,52
2026-07-26,12:05,Food Court,16,17,1,1,35
2026-07-26,12:10,Food Court,28,16,3,3,50
2026-07-26,12:15,Food Court,29,30,2,0,61
2026-07-26,12:20,Food Court,18,22,2,0,42
2026-07-26,12:25,Food Court,24,27,1,3,55
2026-07-26,12:30,Food Court,15,22,1,0,38
2026-07-26,12:35,Food Court,24,30,1,1,56
2026-07-26,12:40,Food Court,26,19,0,2,47
2026-07-26,12:45,Food Court,30,14,0,2,46
2026-07-26,12:50,Food Court,24,21,0,1,46
2026-07-26,12:55,Food Court,17,16,3,0,36
2026-07-26,13:00,Food Court,32,18,1,3,54
2026-07-27,12:00,Entrance,17,14,3,1,35
2026-07-27,12:05,Entrance,18,21,2,3,44
2026-07-27,12:10,Entrance,23,17,3,0,43
2026-07-27,12:15,Entrance,19,13,0,2,34
2026-07-27,12:20,Entrance,12,19,1,1,33
2026-07-27,12:25,Entrance,12,11,0,1,24
2026-07-27,12:30,Entrance,14,24,0,2,40
2026-07-27,12:35,Entrance,14,18,1,2,35
2026-07-27,12:40,Entrance,27,13,1,3,44
2026-07-27,12:45,Entrance,19,22,3,3,47
2026-07-27,12:50,Entrance,18,11,0,3,32
2026-07-27,12:55,Entrance,23,16,3,3,45
2026-07-27,13:00,Entrance,13,20,0,0,33
2026-07-27,12:00,Lobby,14,18,2,0,34
2026-07-27,12:05,Lobby,11,10,1,3,25
2026-07-27,12:10,Lobby,10,13,1,2,26
2026-07-27,12:15,Lobby,15,10,0,3,28
2026-07-27,12:20,Lobby,20,15,0,0,35
2026-07-27,12:25,Lobby,18,15,0,0,33
2026-07-27,12:30,Lobby,20,10,1,3,34
2026-07-27,12:35,Lobby,15,14,1,3,33
2026-07-27,12:40,Lobby,8,9,3,0,20
2026-07-27,12:45,Lobby,14,11,3,2,30
2026-07-27,12:50,Lobby,14,18,3,1,36
2026-07-27,12:55,Lobby,11,11,1,0,23
2026-07-27,13:00,Lobby,17,18,0,2,37
2026-07-27,12:00,Food Court,16,15,3,1,35
2026-07-27,12:05,Food Court,16,30,0,1,47
2026-07-27,12:10,Food Court,17,16,1,3,37
2026-07-27,12:15,Food Court,18,21,0,0,39
2026-07-27,12:20,Food Court,28,30,2,2,62
2026-07-27,12:25,Food Court,21,24,1,2,48
2026-07-27,12:30,Food Court,27,18,2,3,50
2026-07-27,12:35,Food Court,25,16,0,3,44
2026-07-27,12:40,Food Court,18,16,1,2,37
2026-07-27,12:45,Food Court,19,25,0,1,45
2026-07-27,12:50,Food Court,26,23,1,3,53
2026-07-27,12:55,Food Court,32,23,0,2,57
2026-07-27,13:00,Food Court,18,18,2,0,38
2026-07-28,12:00,Entrance,15,21,1,2,39
2026-07-28,12:05,Entrance,21,19,1,2,43
2026-07-28,12:10,Entrance,18,20,2,3,43
2026-07-28,12:15,Entrance,20,24,0,0,44
2026-07-28,12:20,Entrance,25,23,2,0,50
2026-07-28,12:25,Entrance,12,15,1,2,30
2026-07-28,12:30,Entrance,17,21,3,3,44
2026-07-28,12:35,Entrance,12,11,0,1,24
2026-07-28,12:40,Entrance,13,23,2,1,39
2026-07-28,12:45,Entrance,25,12,0,2,39
2026-07-28,12:50,Entrance,23,24,0,2,49
2026-07-28,12:55,Entrance,18,20,1,0,39
2026-07-28,13:00,Entrance,23,22,3,1,49
2026-07-28,12:00,Lobby,11,9,1,3,24
2026-07-28,12:05,Lobby,8,9,2,3,22
2026-07-28,12:10,Lobby,20,17,1,2,40
2026-07-28,12:15,Lobby,10,18,0,3,31
2026-07-28,12:20,Lobby,8,14,1,1,24
2026-07-28,12:25,Lobby,15,12,2,1,30
2026-07-28,12:30,Lobby,11,7,1,3,22
2026-07-28,12:35,Lobby,13,11,0,2,26
2026-07-28,12:40,Lobby,13,17,3,2,35
2026-07-28,12:45,Lobby,8,8,2,1,19
2026-07-28,12:50,Lobby,17,11,0,0,28
2026-07-28,12:55,Lobby,17,13,2,2,34
2026-07-28,13:00,Lobby,14,16,0,3,33
2026-07-28,12:00,Food Court,21,22,0,3,46
2026-07-28,12:05,Food Court,15,30,1,2,48
2026-07-28,12:10,Food Court,28,16,2,2,48
2026-07-28,12:15,Food Court,18,23,2,3,46
2026-07-28,12:20,Food Court,25,26,2,1,54
2026-07-28,12:25,Food Court,21,27,3,1,52
2026-07-28,12:30,Food Court,24,26,0,2,52
2026-07-28,12:35,Food Court,24,20,3,2,49
2026-07-28,12:40,Food Court,29,28,3,1,61
2026-07-28,12:45,Food Court,31,29,1,0,61
2026-07-28,12:50,Food Court,24,30,2,0,56
2026-07-28,12:55,Food Court,22,23,1,1,47
2026-07-28,13:00,Food Court,19,14,0,1,34
