epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.0331,1.99337,3.85513,1.56422,0.00878,0.34188,0.02367,0.00936,1.84063,3.66791,1.30645,0.0003125,0.0003125,0.0003125
2,5.32342,1.99333,3.90768,1.52952,0.00813,0.31624,0.02176,0.01047,1.86267,3.67268,1.31692,0.000717135,0.000717135,0.000717135
3,6.39757,1.96441,3.23064,1.4614,0.01562,0.87464,0.14742,0.03516,1.96022,3.70539,1.3426,0.00110802,0.00110802,0.00110802
4,7.40255,1.86665,2.65049,1.54203,0.01168,0.67521,0.1733,0.07427,1.90454,3.55947,1.35412,0.00118812,0.00118812,0.00118812
5,8.46147,1.82271,2.47022,1.4609,0.01511,0.81197,0.32214,0.20452,1.41855,3.31408,1.11671,0.0011675,0.0011675,0.0011675
6,9.49442,1.79329,2.40849,1.40945,0.01714,0.83761,0.28606,0.15374,1.38419,3.28633,1.11722,0.00114688,0.00114688,0.00114688
7,10.4425,1.67789,2.40792,1.37752,0.43414,0.44585,0.18086,0.08324,1.44206,3.05179,1.13334,0.00112625,0.00112625,0.00112625
8,11.4382,1.62781,2.14311,1.32476,0.01983,0.97436,0.16519,0.08132,1.53786,3.07817,1.13814,0.00110563,0.00110563,0.00110563
9,12.4615,1.52976,2.22235,1.3146,0.01186,0.71225,0.17042,0.07858,1.64072,3.43881,1.23085,0.001085,0.001085,0.001085
10,13.4915,1.67612,2.14325,1.38409,0.44791,0.0891,0.09974,0.04942,1.61325,3.46329,1.32733,0.00106437,0.00106437,0.00106437
11,14.4998,1.61535,2.17679,1.40347,0.37465,0.151,0.15503,0.05509,1.54512,3.43412,1.28828,0.00104375,0.00104375,0.00104375
12,15.4296,1.55872,2.08868,1.31281,0.01783,0.91168,0.1071,0.05086,1.56358,3.20181,1.27524,0.00102312,0.00102312,0.00102312
13,16.8398,1.55886,2.05154,1.2747,0.01814,0.91168,0.16229,0.07041,1.59808,3.02433,1.26476,0.0010025,0.0010025,0.0010025
14,18.2737,1.5114,1.94754,1.27727,0.01548,0.8604,0.13805,0.0687,1.73475,3.0536,1.3319,0.000981875,0.000981875,0.000981875
15,19.6504,1.54128,1.94816,1.26352,0.01627,0.91168,0.16322,0.06634,1.67327,3.04578,1.30223,0.00096125,0.00096125,0.00096125
16,20.702,1.50533,1.92711,1.25753,0.01528,0.91168,0.20177,0.08728,1.62742,3.04219,1.28137,0.000940625,0.000940625,0.000940625
